description;refEquipement;etapeacv;critere;consoElecMoyenne;valeur;source;type
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FABRICATION;Climate change;56.09688325;76.8;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FABRICATION;Resource use (minerals and metals);56.09688325;0.0169;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FABRICATION;Acidification;56.09688325;0.515;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FABRICATION;Ionising radiation;56.09688325;191;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FABRICATION;Particulate matter and respiratory inorganics;56.09688325;0.00000312;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;DISTRIBUTION;Climate change;56.09688325;2.22;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;DISTRIBUTION;Resource use (minerals and metals);56.09688325;0.0000000789;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;DISTRIBUTION;Acidification;56.09688325;0.0774;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;DISTRIBUTION;Ionising radiation;56.09688325;0.00456;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;DISTRIBUTION;Particulate matter and respiratory inorganics;56.09688325;0.000000407;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;UTILISATION;Climate change;56.09688325;;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;UTILISATION;Resource use (minerals and metals);56.09688325;;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;UTILISATION;Acidification;56.09688325;;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;UTILISATION;Ionising radiation;56.09688325;;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;UTILISATION;Particulate matter and respiratory inorganics;56.09688325;;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FIN_DE_VIE;Climate change;56.09688325;6.88;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FIN_DE_VIE;Resource use (minerals and metals);56.09688325;0.0000213;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FIN_DE_VIE;Acidification;56.09688325;0.0393;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FIN_DE_VIE;Ionising radiation;56.09688325;0.384;Resilio;
Screen - Mid-range Dell 32 4K UHD Monitor - SE3223Q LCD, 32 inch, 16/9;ecran-2;FIN_DE_VIE;Particulate matter and respiratory inorganics;56.09688325;0.000000265;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FABRICATION;Climate change;124.1642372;711;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FABRICATION;Resource use (minerals and metals);124.1642372;0.0117;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FABRICATION;Acidification;124.1642372;3.21;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FABRICATION;Ionising radiation;124.1642372;223;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FABRICATION;Particulate matter and respiratory inorganics;124.1642372;0.000017;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;DISTRIBUTION;Climate change;124.1642372;3.94;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;DISTRIBUTION;Resource use (minerals and metals);124.1642372;0.00000014;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;DISTRIBUTION;Acidification;124.1642372;0.137;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;DISTRIBUTION;Ionising radiation;124.1642372;0.00808;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;DISTRIBUTION;Particulate matter and respiratory inorganics;124.1642372;0.00000072;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;UTILISATION;Climate change;124.1642372;;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;UTILISATION;Resource use (minerals and metals);124.1642372;;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;UTILISATION;Acidification;124.1642372;;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;UTILISATION;Ionising radiation;124.1642372;;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;UTILISATION;Particulate matter and respiratory inorganics;124.1642372;;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FIN_DE_VIE;Climate change;124.1642372;15.4;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FIN_DE_VIE;Resource use (minerals and metals);124.1642372;0.0000516;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FIN_DE_VIE;Acidification;124.1642372;0.0897;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FIN_DE_VIE;Ionising radiation;124.1642372;0.845;Resilio;
Screen - High-end ProLite LE5041UHS-B1 OLED, 50 inch, 16/9;ecran-3;FIN_DE_VIE;Particulate matter and respiratory inorganics;124.1642372;0.000000588;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FABRICATION;Climate change;1598.627;738;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FABRICATION;Resource use (minerals and metals);1598.627;0.11;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FABRICATION;Acidification;1598.627;4.91;Resilio;
Rack server Dell PowerEdge R740 2 CPU Intel Xeon Gold 6154, 64GB RAM, 1TB SSD TLC  2,5'';serveur-rack-1;FABRICATION;Ionising radiation;1598.627;2700;Resilio;
